,name,artist,genre
0,"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846",Johann Sebastian Bach,['baroque' 'classical' 'early music' 'german baroque']
1,The Lark Ascending,Ralph Vaughan Williams,['classical' 'early music' 'post-romantic era']
2,"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",George Frideric Handel,['baroque' 'classical' 'early music' 'english baroque' 'german baroque']
3,"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",Ludwig van Beethoven,['classical' 'classical era' 'early romantic era' 'german romanticism']
4,"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",Sergei Rachmaninoff,"['classical' 'post-romantic era' 'russian romanticism'
 'ukrainian classical']"
5,"Cello Concerto in E Minor, Op.85 (1988 Digital Remaster): I. Adagio - Moderato",Edward Elgar,"['british modern classical' 'classical' 'late romantic era'
 'victorian britain']"
6,Rhapsody In Blue,George Gershwin,"['american modern classical' 'classical' 'early modern classical'
 'tin pan alley']"
7,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,['baroque' 'classical' 'early music' 'german baroque']
8,Meditation: Méditation from Thaïs,Jules Massenet,['classical' 'french opera' 'french romanticism' 'post-romantic era']
9,Gnossienne No. 1,Erik Satie,"['classical' 'early avant garde' 'early modern classical' 'impressionism'
 'post-romantic era']"
10,Take on Me,a-ha,"['new romantic' 'new wave' 'new wave pop' 'permanent wave' 'soft rock'
 'synthpop']"
11,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,"['dance rock' 'europop' 'mellow gold' 'new romantic' 'new wave'
 'new wave pop' 'pop rock' 'rock' 'soft rock' 'sophisti-pop' 'synthpop']"
12,Maniac,Michael Sembello,['hi-nrg']
13,Africa,TOTO,['album rock' 'classic rock' 'mellow gold' 'rock' 'soft rock' 'yacht rock']
14,Don't Stop Believin',Journey,['album rock' 'classic rock' 'hard rock' 'mellow gold' 'rock' 'soft rock']
15,Everybody Wants To Rule The World,Tears For Fears,"['new romantic' 'new wave' 'new wave pop' 'permanent wave' 'rock'
 'soft rock' 'sophisti-pop' 'synthpop']"
16,"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,"['album rock' 'classic rock' 'mellow gold' 'new wave pop' 'rock'
 'soft rock' 'yacht rock']"
17,Down Under,Men At Work,"['album rock' 'australian rock' 'mellow gold' 'new romantic' 'new wave'
 'new wave pop' 'pop rock' 'rock' 'soft rock']"
18,Tainted Love,Soft Cell,['new romantic' 'new wave' 'new wave pop' 'post-punk' 'synthpop']
19,Summer Of '69,Bryan Adams,"['canadian pop' 'canadian singer-songwriter' 'classic canadian rock'
 'heartland rock' 'mellow gold' 'pop rock' 'rock' 'soft rock']"
20,Toxicity,System Of A Down,['alternative metal' 'nu metal' 'rap metal']
21,Windowpane,Opeth,"['alternative metal' 'metal' 'progressive death metal' 'progressive metal'
 'rock' 'swedish metal' 'swedish progressive metal']"
22,Minerva,Deftones,['alternative metal' 'nu metal' 'rap metal' 'rock' 'sacramento indie']
23,The Grudge,TOOL,"['alternative metal' 'alternative rock' 'art rock' 'nu metal'
 'progressive metal' 'progressive rock' 'rock']"
24,Flying whales,Gojira,"['alternative metal' 'french death metal' 'french metal' 'metal'
 'nu metal' 'progressive groove metal']"
25,A Dying God Coming into Human Flesh,Celtic Frost,"['black metal' 'black thrash' 'death metal' 'deathrash' 'doom metal'
 'metal' 'old school thrash' 'swiss black metal' 'swiss metal']"
26,Blood and Thunder,Mastodon,"['alternative metal' 'atlanta metal' 'hard rock' 'metal' 'nu metal'
 'progressive groove metal' 'progressive sludge' 'rock' 'sludge metal'
 'stoner metal']"
27,Hyperdrive!,Devin Townsend,"['alternative metal' 'canadian metal' 'progressive metal'
 'vancouver metal']"
28,Panic Attack,Dream Theater,['progressive metal' 'rock']
29,The Hand That Feeds,Nine Inch Nails,"['alternative metal' 'alternative rock' 'cyberpunk' 'electronic rock'
 'industrial' 'industrial metal' 'industrial rock' 'nu metal' 'rock']"
30,"Black and Yellow (feat. Juicy J, Snoop Dogg & T-Pain) - G-Mix [G-Mix]",Wiz Khalifa,['hip hop' 'pittsburgh rap' 'pop rap' 'rap' 'southern hip hop' 'trap']
31,Get Ur Freak On,Missy Elliott,"['dance pop' 'hip hop' 'hip pop' 'pop' 'pop rap' 'r&b' 'rap'
 'urban contemporary' 'virginia hip hop']"
32,Peaches & Cream (feat. P. Diddy),112,"['atl hip hop' 'boy band' 'dance pop' 'gangster rap' 'hip pop'
 'new jack swing' 'pop rap' 'r&b' 'rap' 'southern hip hop'
 'urban contemporary']"
33,Without Me,Eminem,['detroit hip hop' 'hip hop' 'rap']
34,Whatever You Like,T.I.,"['atl hip hop' 'dance pop' 'dirty south rap' 'gangster rap' 'hip hop'
 'pop rap' 'rap' 'southern hip hop' 'trap']"
35,Get Low,Ying Yang Twins,"['atl hip hop' 'crunk' 'dance pop' 'dirty south rap' 'gangster rap'
 'hip hop' 'hip pop' 'pop rap' 'rap' 'southern hip hop' 'trap']"
36,Who Dat Girl (feat. Akon),Flo Rida,['dance pop' 'miami hip hop' 'pop' 'pop rap']
37,It's Goin' Down (feat. Nitti),Yung Joc,"['atl hip hop' 'crunk' 'dirty south rap' 'gangster rap' 'pop rap' 'rap'
 'southern hip hop' 'trap']"
38,Work It,Missy Elliott,"['dance pop' 'hip hop' 'hip pop' 'pop' 'pop rap' 'r&b' 'rap'
 'urban contemporary' 'virginia hip hop']"
39,Shimmy Shimmy Ya,ODB,"['alternative hip hop' 'east coast hip hop' 'gangster rap'
 'hardcore hip hop' 'hip hop' 'rap']"
